Y;D;TMAX
2012;2012-04-13;25,3
2012;2012-04-14;25,3
2012;2012-04-15;26,2
2012;2012-04-16;25,7
2012;2012-04-17;25,3
2012;2012-04-18;26,7
2012;2012-04-19;27,1
2012;2012-04-20;27,5
2012;2012-04-21;29,3
2012;2012-04-22;29,5
2012;2012-04-23;30,7
2012;2012-04-24;29,1
2012;2012-04-25;27,3
2012;2012-04-26;28,5
2012;2012-04-27;27,7
2012;2012-04-28;28
2012;2012-04-29;28,2
2012;2012-04-30;27,7
2012;2012-05-01;26,8
2012;2012-05-02;28,9
2012;2012-05-03;29,2
2012;2012-05-04;30,8
2012;2012-05-05;30,1
2012;2012-05-06;29,5
2012;2012-05-07;30,4
2012;2012-05-08;31,5
2012;2012-05-09;30,8
2012;2012-05-10;30
2012;2012-05-11;31,2
2012;2012-05-12;31,5
2012;2012-05-13;30,9
2012;2012-05-14;32,9
2012;2012-05-15;33,5
2012;2012-05-16;32,1
2012;2012-05-17;30,4
2012;2012-05-18;29,7
2012;2012-05-19;30
2012;2012-05-20;30,1
2012;2012-05-21;32,3
2012;2012-05-22;31,7
2012;2012-05-23;33,7
2012;2012-05-24;34,1
2012;2012-05-25;34,7
2012;2012-05-26;32,4
2012;2012-05-27;31,9
2012;2012-05-28;32,6
2012;2012-05-29;31,9
2012;2012-05-30;32,1
2012;2012-05-31;32,2
2012;2012-06-01;32,2
2012;2012-06-02;30,4
2012;2012-06-03;30,5
2012;2012-06-04;29,9
2012;2012-06-05;30,5
2012;2012-06-06;31
2012;2012-06-07;31,1
2012;2012-06-08;30,9
2012;2012-06-09;32
2012;2012-06-10;33,3
2012;2012-06-11;31,9
2012;2012-06-12;33
2012;2012-06-13;33,3
2012;2012-06-14;33,1
2012;2012-06-15;33,3
2012;2012-06-16;32,5
2012;2012-06-17;33,9
2012;2012-06-18;33,5
2012;2012-06-19;33,7
2012;2012-06-20;30,6
2012;2012-06-21;31
2012;2012-06-22;31,9
2012;2012-06-23;31,7
2012;2012-06-24;34,2
2012;2012-06-25;31
2012;2012-06-26;31,6
2012;2012-06-27;31,8
2012;2012-06-28;34,4
2012;2012-06-29;32,6
2012;2012-06-30;33,8
2012;2012-07-01;33,5
2012;2012-07-02;30,4
2012;2012-07-03;32,3
2012;2012-07-04;32,4
2012;2012-07-05;32,6
2012;2012-07-06;33,4
2012;2012-07-07;34,4
2012;2012-07-08;33,9
2012;2012-07-09;33,1
2012;2012-07-10;32,7
2012;2012-07-11;33,6
2012;2012-07-12;33,2
2012;2012-07-13;32
2012;2012-07-14;31,8
2012;2012-07-15;32,7
2012;2012-07-16;32,5
2012;2012-07-17;33,8
2012;2012-07-18;34,5
2012;2012-07-19;33,4
2012;2012-07-20;34,3
2012;2012-07-21;34,1
2012;2012-07-22;33,6
2012;2012-07-23;33,5
2012;2012-07-24;33,6
2012;2012-07-25;33
2012;2012-07-26;34,1
2012;2012-07-27;34,9
2012;2012-07-28;33,9
2012;2012-07-29;35,8
2012;2012-07-30;33
2012;2012-07-31;33,9
2013;2013-03-01;25,7
2013;2013-03-02;33,6
2013;2013-03-03;32,1
2013;2013-03-04;28,2
2013;2013-03-05;26
2013;2013-03-06;26,5
2013;2013-03-07;26,8
2013;2013-03-08;24,6
2013;2013-03-09;26,3
2013;2013-03-10;24
2013;2013-03-11;24,7
2013;2013-03-12;25
2013;2013-03-13;24,7
2013;2013-03-14;26,8
2013;2013-03-15;27,9
2013;2013-03-16;27,6
2013;2013-03-17;28
2013;2013-03-18;26,2
2013;2013-03-19;27
2013;2013-03-20;27
2013;2013-03-21;26,6
2013;2013-03-22;25,4
2013;2013-03-23;25,5
2013;2013-03-24;27,8
2013;2013-03-25;27
2013;2013-03-26;29
2013;2013-03-27;27,7
2013;2013-03-28;29,9
2013;2013-03-29;33,1
2013;2013-03-30;31,2
2013;2013-03-31;29,7
2013;2013-04-01;29
2013;2013-04-02;29,7
2013;2013-04-03;28,3
2013;2013-04-04;29
2013;2013-04-05;28,2
2013;2013-04-06;29,5
2013;2013-04-07;29,4
2013;2013-04-08;28,1
2013;2013-04-09;27,1
2013;2013-04-10;26,8
2013;2013-04-11;27,9
2013;2013-04-12;25,8
2013;2013-04-13;26,3
2013;2013-04-14;26,3
2013;2013-04-15;25,7
2013;2013-04-16;25,9
2013;2013-04-17;26,1
2013;2013-04-18;27,9
2013;2013-04-19;29,7
2013;2013-04-20;27,2
2013;2013-04-21;27,8
2013;2013-04-22;27,3
2013;2013-04-23;27,2
2013;2013-04-24;27,6
2013;2013-04-25;29
2013;2013-04-26;29,9
2013;2013-04-27;30,9
2013;2013-04-28;29,5
2013;2013-04-29;29,8
2013;2013-04-30;28
2013;2013-05-01;27,3
2013;2013-05-02;28,1
2013;2013-05-03;28,7
2013;2013-05-04;28,2
2013;2013-05-05;28,7
2013;2013-05-06;27,5
2013;2013-05-07;30,7
2013;2013-05-08;33,7
2013;2013-05-09;32,6
2013;2013-05-10;29,7
2013;2013-05-11;31,7
2013;2013-05-12;30,6
2013;2013-05-13;29,5
2013;2013-05-14;31
2013;2013-05-15;33,6
2013;2013-05-16;33,5
2013;2013-05-17;33
2013;2013-05-18;36,3
2013;2013-05-19;32,2
2013;2013-05-20;28,8
2013;2013-05-21;30,5
2013;2013-05-22;29,5
2013;2013-05-23;29,9
2013;2013-05-24;29,5
2013;2013-05-25;31,8
2013;2013-05-26;31
2013;2013-05-27;31,1
2013;2013-05-28;31,5
2013;2013-05-29;28,8
2013;2013-05-30;29,5
2013;2013-05-31;28,9
2013;2013-06-01;29,5
2013;2013-06-02;29,7
2013;2013-06-03;30
2013;2013-06-04;29,8
2013;2013-06-05;30,1
2013;2013-06-06;30,1
2013;2013-06-07;29,9
2013;2013-06-08;30,5
2013;2013-06-09;30
2013;2013-06-10;30,7
2013;2013-06-11;31,6
2013;2013-06-12;31,5
2013;2013-06-13;32,4
2013;2013-06-14;32,2
2013;2013-06-15;32,6
2013;2013-06-16;33,1
2013;2013-06-17;34,1
2013;2013-06-18;34,3
2013;2013-06-19;32,8
2013;2013-06-20;33,1
2013;2013-06-21;34,1
2013;2013-06-22;32,9
2013;2013-06-23;33,1
2013;2013-06-24;33,6
2013;2013-06-25;33,1
2013;2013-06-26;31,1
2013;2013-06-27;32,8
2013;2013-06-28;34,7
2013;2013-06-29;33,7
2013;2013-06-30;32,5
2013;2013-07-01;33,2
2013;2013-07-02;32,2
2013;2013-07-03;33,4
2013;2013-07-04;33,8
2013;2013-07-05;33,3
2013;2013-07-06;33,8
2013;2013-07-07;31,2
2013;2013-07-08;30,1
2013;2013-07-09;33,9
2013;2013-07-10;34,1
2013;2013-07-11;33
2013;2013-07-12;31,9
2013;2013-07-13;31,9
2013;2013-07-14;32,2
2013;2013-07-15;31,4
2013;2013-07-16;30,9
2013;2013-07-17;30,3
2013;2013-07-18;31,3
2013;2013-07-19;31,9
2013;2013-07-20;31,6
2013;2013-07-21;32
2013;2013-07-22;33,2
2013;2013-07-23;33,8
2013;2013-07-24;33,4
2013;2013-07-25;33,5
2013;2013-07-26;34,3
2013;2013-07-27;34,5
2013;2013-07-28;31,6
2013;2013-07-29;32,9
2013;2013-07-30;32,8
2013;2013-07-31;31,1
2014;2014-03-01;27,9
2014;2014-03-02;28,2
