year;site;nest;comment;;;;;;;;;;;
2011;D;1;"Predated by racoon; male BX.MX|GX.BX and Female GX.MX|LX.BX";;;;;;;;;;;
2011;C;3;;;;;;;;;;;;
2011;A;103;;;;;;;;;;;;
2011;A;101;;;;;;;;;;;;
2011;A;107;Two eggs broken when the female was captured;;;;;;;;;;;
2011;E;4;"One egg when found; probably abandoned";;;;;;;;;;;
2011;A;105;"3rd egg not measured;CF B201";;;;;;;;;;;
2011;A;106;"third egg broken ;CF A201";;;;;;;;;;;
2011;A;201;"Floated 512;CF A106";;;;;;;;;;;
2011;A;15;;;;;;;;;;;;
2011;B;101;;;;;;;;;;;;
2011;B;201;"Floated one day after 515; CF A105";;;;;;;;;;;
2011;B;103;;;;;;;;;;;;
2011;D;3;;;;;;;;;;;;
2011;E;7;;;;;;;;;;;;
2011;E;3;One chick trampled accidentially;;;;;;;;;;;
2011;D;2;CF A108;;;;;;;;;;;
2011;E;6;"Least tern incubated the eggs 509;511 Least tern continued incubated the eggs";;;;;;;;;;;
2011;A;108;CF D2;;;;;;;;;;;
2011;B;102;;;;;;;;;;;;
2011;D;6;"One egg when  found;eggs floated 616;flooded by high tide";;;;;;;;;;;
2011;D;101;;;;;;;;;;;;
